Tweet,Time,Link,Media
Day 409.4: Arrived at Melissa,2017-04-17 03:15:23.130000,http://wenamethestars.inkleby.com/feature/3819,http://wenamethestars.inkleby.com/static/moon/1788.png
Day 409.5: Arrived at Ewen,2017-04-17 03:59:56.670000,http://wenamethestars.inkleby.com/feature/1891,http://wenamethestars.inkleby.com/static/moon/1789.png
Day 409.6: Arrived at Mons Dilip,2017-04-17 06:23:49.110000,http://wenamethestars.inkleby.com/feature/3978,http://wenamethestars.inkleby.com/static/moon/1790.png
Day 409.6: Arrived at Mons Ardeshir,2017-04-17 06:56:52.080000,http://wenamethestars.inkleby.com/feature/3973,http://wenamethestars.inkleby.com/static/moon/1791.png
Day 409.6: Arrived at King,2017-04-17 07:54:27.540000,http://wenamethestars.inkleby.com/feature/3037,http://wenamethestars.inkleby.com/static/moon/1792.png
King is named after Arthur Scott King - American physicist (1876 -1957) and Edward Skinner King - American astronomer (1861 -1931).,2017-04-17 07:55:27.540000,https://en.wikipedia.org/wiki/Edward_Skinner_King,
Day 409.6: Arrived at Mons André,2017-04-17 08:12:05.670000,http://wenamethestars.inkleby.com/feature/3972,http://wenamethestars.inkleby.com/static/moon/1793.png
Day 409.7: Arrived at Mons Dieter,2017-04-17 08:46:46.290000,http://wenamethestars.inkleby.com/feature/3977,http://wenamethestars.inkleby.com/static/moon/1794.png
Day 409.7: Arrived at Mons Ganau,2017-04-17 09:25:55.020000,http://wenamethestars.inkleby.com/feature/3980,http://wenamethestars.inkleby.com/static/moon/1795.png
Day 409.7: Arrived at Sita,2017-04-17 09:43:47.010000,http://wenamethestars.inkleby.com/feature/5582,http://wenamethestars.inkleby.com/static/moon/1796.png
Day 409.9: Arrived at Soddy,2017-04-17 14:06:45.540000,http://wenamethestars.inkleby.com/feature/5617,http://wenamethestars.inkleby.com/static/moon/1797.png
Soddy is named after Frederick Soddy - British physicist; Nobel laureate (1877 -1956).,2017-04-17 14:07:45.540000,https://en.wikipedia.org/wiki/Frederick_Soddy,
Day 410.0: Arrived at Heron (Hero),2017-04-17 17:24:51.840000,http://wenamethestars.inkleby.com/feature/2476,http://wenamethestars.inkleby.com/static/moon/1798.png
Heron (Hero) is named after (Hero) - Egyptian inventor (unkn -c. 100 B.C.).,2017-04-17 17:25:51.840000,https://en.wikipedia.org/wiki/List_of_songs_in_Guitar_Hero_III:_Legends_of_Rock,
Day 410.1: Arrived at Ctesibius,2017-04-17 19:29:41.010000,http://wenamethestars.inkleby.com/feature/1344,http://wenamethestars.inkleby.com/static/moon/1799.png
Ctesibius is named after Ctesibius - Egyptian physicist (unkn -c. 100 B.C.).,2017-04-17 19:30:41.010000,https://en.wikipedia.org/wiki/Ctesibius,
Day 410.3: Arrived at Abul Wáfa,2017-04-17 23:12:32.760000,http://wenamethestars.inkleby.com/feature/22,http://wenamethestars.inkleby.com/static/moon/1800.png
Day 410.5: Arrived at Buisson,2017-04-18 05:45:24.840000,http://wenamethestars.inkleby.com/feature/913,http://wenamethestars.inkleby.com/static/moon/1801.png
